event_type	prematching_count	postmatching_count	postforbiddenremoval_count	postmatching_score	postforbiddenremoval_score
deletion	71	2	1	0.971830985915493	0.9859154929577465
inversion	106	9	3	0.9150943396226415	0.9716981132075472
nonreciprocal translocation	119	7	7	0.9411764705882353	0.9411764705882353
left duplication inversion	40	4	4	0.9	0.9
tandem duplication	69	7	7	0.8985507246376812	0.8985507246376812
right duplication inversion	32	3	3	0.90625	0.90625
balanced reciprocal translocation	162	6	6	0.962962962962963	0.962962962962963
ENF	8	4	0	0.5	1.0
